"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu-focal-rax-dfw-0027048694",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","21 Oct 2021 21:58:39 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
21-10 22:00:47,23.367,1.624,74.224,0,0,1238752,524920,1134776,4917496,471468.629,471468.629,0,327.884,0,34.988,4801,5222,3,1.720,1.060,2,0,0,0,0,11,28,0,363,0
21-10 22:00:48,22.133,3.376,73.776,0.125,0.125,1240652,522992,1134808,4917492,196.069,252.089,0,264.093,0,17.006,1944,1891,3,1.720,1.060,2,0,78.027,0,0,11,28,0,363,0
21-10 22:00:49,23.502,1.875,74.380,0,0,1294868,468724,1134824,4917528,174799.061,174813.062,0,172.012,0,13.001,1870,2027,3,1.720,1.060,2,0,0,0,0,11,32,0,333,0
21-10 22:00:50,21.751,3.625,72.879,0.500,0,1196108,567372,1134896,4917568,380995.479,380995.479,0,8596.507,0,412.024,4726,4773,3,1.720,1.060,2,0,110.006,0,0,11,28,0,338,0
21-10 22:00:51,22.371,2.999,74.235,0,0,1263752,499712,1134908,4917572,45.991,49.990,0,191.962,0,12.997,1809,1540,2.920,1.720,1.070,2,0,69.986,0,0,11,28,0,338,0
21-10 22:00:52,23.244,2.249,73.855,0,0.375,1249044,514232,1134936,4917728,220356.165,220370.161,0,199.947,0,19.995,3164,3085,2.920,1.720,1.070,3,0,29.992,0,0,11,28,0,336,0
21-10 22:00:53,22.511,2.626,74.035,0,0,1244996,518240,1134952,4917752,68194.665,68194.665,0,152.073,0,10.005,2039,1815,2.920,1.720,1.070,4,0,29.014,0,0,11,28,0,338,0
21-10 22:00:54,22.499,3.375,74.246,0,0,1238024,525148,1134992,4917776,162380.907,162394.906,0,175.990,0,13.999,2684,2607,2.920,1.720,1.070,2,0,44.997,0,0,11,28,0,331,0
21-10 22:00:55,21.721,3.371,73.278,0.125,0,1215328,547696,1135036,4917876,224367.060,224347.086,0,227.700,0,25.966,4420,4428,2.920,1.720,1.070,3,0,161.787,0,0,11,28,0,334,0
21-10 22:00:56,12.141,4.381,82.861,0,0.125,1175124,587772,1135084,4917956,95941.658,145979.759,0,280.376,0,24.032,3675,3390,2.760,1.710,1.070,1,0,193.259,0,0,11,28,0,323,0
21-10 22:00:57,11.750,0.750,86.873,0.125,0.125,1208888,554004,1135088,4917956,0,0,0,103.997,0,8.000,887,1117,2.760,1.710,1.070,1,0,1.000,0,0,11,28,0,323,0
21-10 22:00:58,11.999,1.000,86.620,0,0.125,1230820,532032,1135112,4917972,113380.651,113394.650,0,207.988,0,23.999,1896,2106,2.760,1.710,1.070,1,0,0,0,0,11,28,0,313,0
21-10 22:00:59,10.627,2.125,86.392,0.125,0,1201296,561460,1135180,4918000,46.009,82.016,0,932.178,0,62.012,1850,1861,2.760,1.710,1.070,1,0,77.015,0,0,11,28,0,313,0
21-10 22:01:00,11.375,1.375,86.872,0,0.125,1229532,533204,1135184,4918012,89895.854,89909.853,0,35.999,0,5.000,1509,1739,2.760,1.710,1.070,1,0,0,0,0,11,28,0,307,0
21-10 22:01:01,11.747,1.375,86.354,0,0,1191256,571436,1135196,4918044,105001.590,105001.590,0,83.980,0,5.999,1794,1873,2.540,1.680,1.060,1,0,15.996,0,0,11,28,0,308,0
21-10 22:01:02,11.627,1.375,87.138,0,0,1225088,537592,1135204,4918048,100.015,184.028,0,28.004,0,3.000,898,1063,2.540,1.680,1.060,1,0,0,0,0,11,28,0,288,0
21-10 22:01:03,11.750,1.375,86.124,0.125,0,1181088,581448,1135256,4918140,156168.751,156168.751,0,315.997,0,26.000,2537,2577,2.540,1.680,1.060,1,0,30.000,0,0,11,28,0,290,0
21-10 22:01:04,11.242,1.249,86.811,0.125,0,1219296,543088,1135264,4918280,0,0,0,27.979,0,2.998,900,999,2.540,1.680,1.060,1,0,0.999,0,0,11,28,0,270,0
21-10 22:01:05,11.635,1.752,86.578,0,0,1170744,591480,1135272,4918432,209013.530,209027.543,0,16.014,0,2.002,2447,2435,2.540,1.680,1.060,1,0,19.017,0,0,11,28,0,273,0
21-10 22:01:06,11.123,1.625,86.606,0,0,1206152,556052,1135272,4918452,0,0,0,75.983,0,2.999,1140,1196,2.420,1.670,1.060,1,0,28.994,0,0,11,28,0,266,0
21-10 22:01:07,11.384,1.126,86.820,0,0.125,1231664,530528,1135272,4918464,119880.223,119880.223,0,0,0,0,1611,1639,2.420,1.670,1.060,2,0,0,0,0,11,30,0,268,0
21-10 22:01:08,11.108,1.747,86.868,0,0,1199144,563020,1135296,4918468,3202.133,3280.014,0,87.866,0,9.985,1312,1513,2.420,1.670,1.060,1,0,21.967,0,0,11,28,0,239,0
21-10 22:01:09,11.386,1.376,87.086,0.125,0,1224832,537316,1135312,4918468,0,0,0,100.099,0,8.008,905,1106,2.420,1.670,1.060,1,0,0,0,0,11,28,0,239,0
21-10 22:01:10,11.375,1.625,86.503,0,0.250,1181200,580896,1135352,4918480,72531.901,72531.901,0,204.008,0,20.001,2019,2092,2.420,1.670,1.060,1,0,52.002,0,0,11,28,0,230,0
21-10 22:01:11,11.001,1.375,86.511,0.250,0,1219732,542340,1135376,4918480,90.011,104.013,0,3172.397,0,349.044,1208,1084,2.310,1.660,1.060,1,0,1.000,0,0,11,28,0,230,0
21-10 22:01:12,11.500,1.125,86.502,0.125,0,1179632,582352,1135436,4918508,122702.822,122702.822,0,588.014,0,54.001,2316,2492,2.310,1.660,1.060,1,0,56.001,0,0,11,28,0,222,0
21-10 22:01:13,11.622,0.875,86.850,0,0,1211132,550852,1135436,4918508,173.951,201.943,0,0,0,0,965,1061,2.310,1.660,1.060,1,0,1.000,0,0,11,28,0,222,0
21-10 22:01:14,11.628,1.375,86.646,0.125,0,1169824,591988,1135464,4918652,113005.782,113033.789,0,108.026,0,13.003,2097,2247,2.310,1.660,1.060,1,0,37.009,0,0,11,28,0,191,0
21-10 22:01:15,10.750,1.750,86.750,0,0.125,1208816,552952,1135504,4918656,136.000,185.999,0,479.999,0,34.000,1388,1586,2.310,1.660,1.060,1,0,39.000,0,0,11,28,0,191,0
21-10 22:01:16,11.623,0.875,86.737,0,0,1231744,529980,1135520,4918680,174113.231,174141.227,0,67.990,0,5.999,1847,2059,2.200,1.650,1.060,1,0,2.000,0,0,11,30,0,179,0
21-10 22:01:17,11,2,86.875,0.125,0,1198676,563024,1135528,4918692,21104,21118,0,16,0,2,1150,1278,2.200,1.650,1.060,1,0,11,0,0,11,28,0,180,0
21-10 22:01:18,11.249,1.250,86.870,0,0,1227144,534548,1135536,4918692,89.995,103.994,0,43.997,0,3.000,894,1055,2.200,1.650,1.060,1,0,0,0,0,11,28,0,166,0
21-10 22:01:19,11.620,1.749,86.338,0.125,0.125,1185092,576584,1135580,4918664,156377.696,156391.690,0,267.886,0,22.990,2348,2552,2.200,1.650,1.060,1,0,29.987,0,0,11,28,0,169,0
21-10 22:01:20,11.256,1.251,87.174,0,0,1223116,538508,1135584,4918712,90.051,104.059,0,28.016,0,3.002,921,1044,2.200,1.650,1.060,1,0,1.001,0,0,11,28,0,154,0
21-10 22:01:21,11.502,2.250,85.763,0,0.125,1170620,590836,1135584,4918880,210377.977,210377.977,0,4.001,0,1.000,2978,3036,2.100,1.640,1.060,1,0,86.013,0,0,11,28,0,157,0
21-10 22:01:22,18.251,5.250,75.504,0.125,0,1227048,534180,1135680,4919016,12668.671,56881.015,0,464.025,0,39.002,3551,3508,2.100,1.640,1.060,2,0,222.012,0,0,11,28,0,154,0
21-10 22:01:23,22.726,2.248,74.420,0.125,0,1300736,459516,1135760,4919872,0,0,83.910,0,4.995,0,1021,1039,2.100,1.640,1.060,2,0,0.999,0,0,11,28,0,154,0
21-10 22:01:24,20.160,2.003,70.497,5.134,0.250,1343268,409040,1138324,4924880,23928.372,23964.435,1406.432,18323.682,45.078,1861.218,13450,14796,2.100,1.640,1.060,3,1,2.003,0,0,11,32,0,147,0
21-10 22:01:25,20.492,1.874,69.348,5.373,0.375,1270568,475668,1141128,4928108,15968.852,15968.852,0,13866.661,0,2037.216,16125,18164,2.100,1.640,1.060,5,0,1.999,0,0,11,32,0,147,0
21-10 22:01:26,21.742,1.499,70.350,3.374,0.250,1254196,490064,1142836,4928060,21729.308,21729.308,0,8157.112,0,1268.551,10436,13055,2.100,1.640,1.060,2,0,4.998,0,0,11,28,0,134,0
21-10 22:01:27,23.375,1.875,74.126,0.125,0,1314772,429444,1142864,4928060,46.001,82.001,0,1112.012,0,41.000,1137,1034,2.100,1.640,1.060,2,0,2.000,0,0,11,28,0,134,0
21-10 22:01:28,24.746,4.249,68.864,0.750,0.125,1282320,461332,1143392,4928084,80354.706,80354.706,0,1951.701,0,330.949,6211,8701,2.100,1.640,1.060,2,1,43.993,0,0,11,30,0,123,0
21-10 22:01:29,19.132,2.126,70.399,4.877,0.125,1326932,413576,1146116,4928432,291662.499,291662.499,0,13556.718,0,1648.574,12742,18709,2.100,1.640,1.060,2,0,1.000,0,0,11,30,0,123,0
21-10 22:01:30,19.745,2.499,73.605,2.124,0.125,1187644,551368,1147396,4928568,155913.968,155913.968,0,3950.910,0,760.790,7808,11137,2.100,1.640,1.060,1,0,61.983,0,0,11,28,0,109,0
21-10 22:01:31,11.377,1.250,87.015,0.125,0,1223924,515088,1147396,4928568,52.009,231.040,0,748.128,0,81.014,790,877,2.010,1.630,1.060,1,0,1.000,0,0,11,28,0,109,0
21-10 22:01:32,11.752,1.000,85.388,1.375,0,1262992,475708,1147708,4928560,0,0,0,7141.114,0,483.075,2328,2569,2.010,1.630,1.060,1,0,1.000,0,0,11,28,0,104,0
21-10 22:01:33,11.748,1.125,85.487,1.125,0.250,1189888,548552,1147952,4928572,0,0,0,6910.915,0,466.927,2203,2407,2.010,1.630,1.060,3,0,1.000,0,0,11,28,0,104,0
21-10 22:01:34,11.625,1.250,85.253,1.000,0,1233988,504104,1148220,4928652,0,0,0,6968.216,0,459.014,2294,2605,2.010,1.630,1.060,1,0,1.000,0,0,11,28,0,104,0
21-10 22:01:35,11.875,0.750,86.747,0.125,0,1272012,466092,1148268,4928580,0,0,0,735.974,0,49.998,941,1048,2.010,1.630,1.060,1,0,1.000,0,0,11,28,0,101,0
21-10 22:01:36,11.876,1.000,87.254,0,0,1193876,544212,1148268,4928596,0,0,0,0,0,0,734,852,1.930,1.620,1.060,1,0,3.000,0,0,11,28,0,101,0
21-10 22:01:37,11.242,1.374,86.690,0,0,1240080,498008,1148268,4928596,0,0,0,0,0,0,715,853,1.930,1.620,1.060,1,0,0.999,0,0,11,28,0,95,0
21-10 22:01:38,11.633,1.126,87.188,0,0,1275012,463060,1148276,4928600,0,0,0,32.023,0,2.001,745,859,1.930,1.620,1.060,1,0,1.001,0,0,11,28,0,95,0
21-10 22:01:39,11.366,1.499,86.810,0.250,0,1199344,538652,1148328,4928620,0,0,0,415.687,0,33.974,1015,1295,1.930,1.620,1.060,1,0,0.999,0,0,11,28,0,82,0
21-10 22:01:40,11.635,0.876,86.950,0,0.125,1243688,494300,1148336,4928620,0,0,0,28.024,0,3.003,709,821,1.930,1.620,1.060,1,0,1.001,0,0,11,28,0,82,0
21-10 22:01:41,11.749,1.125,86.989,0,0,1274416,463556,1148336,4928636,71.991,77.990,0,0,0,0,805,854,1.850,1.610,1.060,1,0,5.999,0,0,11,28,0,67,0
21-10 22:01:42,11.250,1.500,87.121,0,0,1208820,529132,1148336,4928636,45.998,81.996,0,2435.895,0,336.986,1235,1017,1.850,1.610,1.060,1,0,2.000,0,0,11,28,0,67,0
21-10 22:01:43,11.502,1.125,86.892,0,0,1255440,482512,1148336,4928636,0,0,0,0,0,0,729,883,1.850,1.610,1.060,1,0,0,0,0,11,28,0,61,0
21-10 22:01:44,11.625,1.000,86.997,0,0,1279672,458272,1148344,4928636,0,0,0,43.999,0,2.000,813,900,1.850,1.610,1.060,1,0,1.000,0,0,11,28,0,61,0
21-10 22:01:45,11.125,1.125,87.123,0,0,1199768,538100,1148352,4928704,0,0,0,0,0,0,779,850,1.850,1.610,1.060,1,0,2.000,0,0,11,28,0,53,0
21-10 22:01:46,11.250,1.625,87.251,0,0.125,1197648,540172,1148360,4928744,72.001,86.001,0,76.001,0,3.000,847,902,1.780,1.600,1.060,1,0,3.000,0,0,11,28,0,53,0
21-10 22:01:47,11.871,0.750,86.722,0,0.125,1242432,495388,1148360,4928744,103.966,103.966,0,31.990,0,3.999,771,863,1.780,1.600,1.060,1,0,1.000,0,0,11,28,0,49,0
21-10 22:01:48,11.377,1.375,87.015,0,0,1275192,462628,1148360,4928744,0,0,0,0,0,0,751,820,1.780,1.600,1.060,1,0,1.000,0,0,11,28,0,49,0
21-10 22:01:49,11.377,1.125,87.012,0,0.125,1210592,527108,1148400,4928792,0,0,0,380.051,0,34.005,1004,1271,1.780,1.600,1.060,1,0,1.000,0,0,11,28,0,44,0
21-10 22:01:50,11.875,0.875,87.002,0,0,1250164,487536,1148408,4928784,46.001,86.002,0,92.002,0,3.000,765,840,1.780,1.600,1.060,1,0,1.000,0,0,11,28,0,44,0
21-10 22:01:51,11.249,1.375,86.989,0,0,1210584,527076,1148408,4928808,0,0,0,0,0,0,806,906,1.720,1.590,1.060,1,0,2.000,0,0,11,28,0,37,0
21-10 22:01:52,11.626,1.000,86.879,0.125,0,1257528,480132,1148408,4928808,90.005,104.005,0,316.016,0,56.003,837,869,1.720,1.590,1.060,1,0,1.000,0,0,11,28,0,37,0
21-10 22:01:53,10.252,2.250,86.766,0,0,1180432,557216,1148408,4928820,0,0,0,152.029,0,4.001,1716,1676,1.720,1.590,1.060,1,0,105.020,0,0,11,28,0,33,0
21-10 22:01:54,5.750,9.500,84.623,0,0.375,1180000,557372,1148408,4929096,590.989,13729.753,4.000,1683.970,1.000,46.999,6997,6103,1.720,1.590,1.060,1,0,688.988,0,0,11,28,0,33,0
21-10 22:01:55,4.500,10.750,84.378,0,0.125,1179908,557416,1148424,4929124,364.014,11225.427,0,1716.065,0,52.002,7199,6148,1.720,1.590,1.060,2,0,688.026,0,0,11,28,0,27,0
21-10 22:01:56,8.875,4.375,86.123,0,0.125,1206764,530548,1148424,4929136,297.994,9094.827,0,31.999,0,2.000,2863,2613,1.580,1.560,1.060,1,0,209.996,0,0,11,28,0,27,0
21-10 22:01:57,11.375,1.125,86.750,0.125,0,1253828,483500,1148424,4929120,0,0,0,1712,0,59,829,853,1.580,1.560,1.060,1,0,0,0,0,11,28,0,24,0
21-10 22:01:58,11.874,0.875,87.117,0,0,1275396,461912,1148424,4929136,89.992,103.991,0,15.999,0,1.000,716,801,1.580,1.560,1.060,1,0,1.000,0,0,11,28,0,24,0
21-10 22:01:59,11.375,1.625,86.501,0.250,0.125,1216484,520560,1148464,4929184,0,0,0,392.003,0,32.000,1097,1320,1.580,1.560,1.060,1,0,2.000,0,0,11,28,0,24,0
21-10 22:02:00,11.374,1.125,87.119,0,0.125,1261016,476044,1148464,4929168,89.993,103.992,4.000,0,1.000,0,767,829,1.580,1.560,1.060,1,0,1.000,0,0,11,28,0,24,0
21-10 22:02:01,11.875,0.875,86.878,0,0,1192588,544452,1148472,4929180,0,0,0,160.005,0,6.000,838,827,1.540,1.550,1.060,1,0,6.000,0,0,11,28,0,21,0
21-10 22:02:02,11.375,1.250,86.997,0,0,1226944,510084,1148476,4929188,0,0,0,39.999,0,3.000,788,884,1.540,1.550,1.060,1,0,1.000,0,0,11,28,0,21,0
21-10 22:02:03,11.751,0.875,87.133,0,0,1267096,469944,1148476,4929176,0,0,0,0,0,0,739,809,1.540,1.550,1.060,1,0,1.000,0,0,11,28,0,19,0
21-10 22:02:04,11.375,1.125,87.001,0,0,1193656,543372,1148476,4929188,0,0,0,12.000,0,1.000,707,753,1.540,1.550,1.060,1,0,1.000,0,0,11,28,0,19,0
21-10 22:02:05,11,1.625,87,0,0,1237328,499712,1148484,4929168,0,0,0,24,0,2,762,845,1.540,1.550,1.060,1,0,1,0,0,11,28,0,16,0
21-10 22:02:06,11.749,1.125,86.869,0,0,1274968,462064,1148492,4929168,0,0,0,51.997,0,3.000,796,842,1.490,1.540,1.060,1,0,3.000,0,0,11,28,0,16,0
21-10 22:02:07,11.501,1.250,86.879,0.125,0.125,1196984,540028,1148492,4929188,0,0,0,1228.063,0,218.011,939,867,1.490,1.540,1.060,1,0,1.000,0,0,11,28,0,16,0
21-10 22:02:08,11.499,1.125,87.117,0,0,1242864,494164,1148492,4929172,0,0,0,0,0,0,797,891,1.490,1.540,1.060,1,0,1.000,0,0,11,28,0,16,0
21-10 22:02:09,11.126,1.500,86.758,0,0,1277048,459932,1148532,4929180,0,0,0,412.037,0,33.003,1107,1369,1.490,1.540,1.060,1,0,1.000,0,0,11,28,0,14,0
21-10 22:02:10,11.375,1.375,86.747,0,0,1199924,537012,1148532,4929224,267.989,246.990,23.999,15.999,6.000,1.000,878,884,1.490,1.540,1.060,1,0,2.000,0,0,11,28,0,14,0
21-10 22:02:11,11.750,1.125,86.876,0,0,1244376,492572,1148532,4929212,90.001,104.002,0,0,0,0,838,940,1.450,1.540,1.050,1,0,1.000,0,0,11,28,0,14,0
21-10 22:02:12,11.120,1.249,86.837,0,0,1278616,458324,1148540,4929212,0,0,0,59.974,0,3.998,840,911,1.450,1.540,1.050,1,0,1.000,0,0,11,28,0,14,0
21-10 22:02:13,11.755,1.000,87.285,0,0,1212352,524720,1148540,4929208,90.036,104.042,0,0,0,0,817,882,1.450,1.540,1.050,1,0,2.001,0,0,11,28,0,13,0
21-10 22:02:14,11.874,0.625,86.868,0,0.125,1258720,478352,1148540,4929208,89.993,103.991,0,0,0,0,745,827,1.450,1.540,1.050,1,0,0,0,0,11,28,0,13,0
21-10 22:02:15,11.627,1.875,86.514,0,0,1187968,549080,1148548,4929224,90.014,104.017,0,44.007,0,3.000,842,915,1.450,1.540,1.050,1,0,2.000,0,0,11,28,0,12,0
21-10 22:02:16,11.251,1.500,87.009,0,0,1224752,512296,1148548,4929224,136.014,186.019,0,0,0,0,851,1015,1.420,1.530,1.050,1,0,3.000,0,0,11,28,0,12,0
21-10 22:02:17,11.123,1.500,87.111,0,0,1262140,474984,1148548,4929148,89.986,103.984,0,0,0,0,835,954,1.420,1.530,1.050,1,0,1.000,0,0,11,28,0,12,0
21-10 22:02:18,11.876,0.875,86.880,0.125,0,1281600,455524,1148556,4929140,194.010,208.011,0,464.024,0,76.004,838,878,1.420,1.530,1.050,1,0,0,0,0,11,28,0,9,0
21-10 22:02:19,11.000,1.500,86.876,0.125,0,1213152,523864,1148592,4929212,136.001,186.002,0,352.004,0,32.000,1124,1427,1.420,1.530,1.050,1,0,2.000,0,0,11,28,0,9,0
21-10 22:02:20,11.125,1.500,86.873,0,0.125,1206444,530580,1148592,4929204,89.998,103.998,0,12.000,0,1.000,834,897,1.420,1.530,1.050,1,0,2.000,0,0,11,28,0,6,0
21-10 22:02:21,11.868,0.999,86.826,0,0,1253808,483212,1148592,4929208,0,0,0,0,0,0,869,917,1.380,1.520,1.050,1,0,4.997,0,0,11,28,0,6,0
21-10 22:02:22,11.507,1.001,87.053,0,0,1274008,462992,1148592,4929228,90.055,104.063,0,20.012,0,1.001,790,857,1.380,1.520,1.050,1,0,1.001,0,0,11,28,0,3,0
21-10 22:02:23,11.373,1.375,86.857,0,0,1219532,517476,1148600,4929212,0,0,0,223.954,0,31.993,869,939,1.380,1.520,1.050,1,0,2.000,0,0,11,28,0,3,0
21-10 22:02:24,11.623,1.000,87.238,0,0,1250556,486452,1148600,4929212,0,0,0,15.998,0,1.000,740,803,1.380,1.520,1.050,1,0,0,0,0,11,28,0,1,0
21-10 22:02:25,11.502,1.250,86.768,0,0,1216340,520644,1148608,4929228,46.010,82.017,0,24.005,0,2.000,825,912,1.380,1.520,1.050,1,0,2.000,0,0,11,28,0,1,0
21-10 22:02:26,11.878,0.875,87.144,0,0,1260324,476668,1148608,4929220,0,0,0,0,0,0,802,955,1.350,1.510,1.050,1,0,3.001,0,0,11,28,0,1,0
21-10 22:02:27,10.000,2.750,86.497,0,0.125,1180032,556936,1148608,4929244,51.998,1152.965,0,95.997,0,8.000,2345,2126,1.350,1.510,1.050,1,0,176.995,0,0,11,28,0,1,0
21-10 22:02:28,13.623,3.125,82.362,0,0.125,1253952,482948,1148620,4929264,616.903,3155.501,0,83.987,0,5.999,3201,4080,1.350,1.510,1.050,2,0,149.976,0,0,11,28,0,1,0
21-10 22:02:29,12.002,1.250,86.388,0,0,1242836,494064,1148620,4929264,577.087,577.087,0,204.031,0,40.006,1204,1760,1.350,1.510,1.050,1,0,1.000,0,0,11,28,0,2,0
21-10 22:02:30,11.625,1.125,86.872,0,0,1227764,509124,1148628,4929268,51.998,1364.960,0,67.998,0,3.000,899,1007,1.350,1.510,1.050,1,0,6.000,0,0,11,28,0,1,0
21-10 22:02:31,11.249,2.125,86.119,0,0,1180480,556380,1148628,4929296,0,0,0,0,0,0,2042,2008,1.320,1.500,1.050,1,0,112.992,0,0,11,28,0,1,0
21-10 22:02:32,5.000,9.876,84.381,0,0,1181348,555456,1148628,4929352,584.039,45541.006,0,532.035,0,23.002,7293,6314,1.320,1.500,1.050,1,0,687.045,0,0,11,28,0,1,0
21-10 22:02:33,26.377,13.376,59.129,0.250,0.500,1255732,480824,1148768,4929424,35370.476,40861.860,48.003,988.069,2.000,85.006,6827,6522,1.320,1.500,1.050,4,0,645.045,0,0,11,28,0,7,0
21-10 22:02:34,41.497,7.499,48.747,1.375,0,1349784,388228,1149868,4924504,51.996,296.979,343.976,11211.204,45.997,267.981,4590,2670,1.320,1.500,1.050,4,0,96.993,0,90.994,11,28,0,7,0
21-10 22:02:35,43.003,4.875,48.629,2.125,0.125,1422732,310496,1151004,4927824,11273.879,11273.879,640.050,5688.444,30.002,689.054,5391,6991,1.320,1.500,1.050,3,1,5.000,0,0,11,30,0,7,0
21-10 22:02:36,37.374,4.125,46.624,8.250,0.375,1386176,336060,1154000,4935252,44551.574,44551.574,1175.962,24371.220,59.998,2405.923,14060,19650,1.620,1.560,1.070,8,0,39.999,0,0,11,32,0,8,0
21-10 22:02:37,35.490,3.499,49.487,8.748,0.250,1446968,264532,1157232,4942432,23933.514,23933.514,0,24185.446,0,2421.344,16219,21547,1.620,1.560,1.070,4,0,2.999,0,0,11,32,0,8,0
21-10 22:02:38,34.004,4.876,50.255,8.501,0.250,1470624,229900,1160224,4950048,146234.647,146234.647,0,25674.747,0,2461.263,16585,21986,1.620,1.560,1.070,3,1,9.001,0,0,11,32,0,11,0
21-10 22:02:39,36.608,5.372,49.227,5.872,0.125,1433216,259084,1163084,4955156,25005.148,25005.148,0,21637.744,0,2274.922,17565,19750,1.620,1.560,1.070,4,0,64.969,0,0,11,32,0,11,0
21-10 22:02:40,33.885,6.377,50.265,7.127,0.375,1388324,295016,1165488,4961356,12752.877,12752.877,2912.886,19965.069,70.021,2079.632,16245,18273,1.620,1.560,1.070,2,1,159.048,0,0,11,30,0,11,0
21-10 22:02:41,32.782,6.632,52.176,5.380,0.125,1401436,274848,1167684,4965920,369602.798,369602.798,2614.581,18316.078,72.071,1815.792,16582,20097,1.890,1.620,1.100,5,0,128.126,0,0,11,30,0,19,0
21-10 22:02:42,32.351,6.870,52.087,6.370,0.250,1368416,299896,1170388,4970832,16828.581,16828.581,3084.723,18932.028,78.942,1915.586,15589,18494,1.890,1.620,1.100,3,0,95.929,0,0,11,30,0,19,0
21-10 22:02:43,33.608,2.624,56.847,4.248,0.250,1393380,271640,1172172,4972220,8606.714,8785.625,0,10366.837,0,1438.284,10278,13830,1.890,1.620,1.100,3,0,4.998,0,0,11,30,0,19,0
21-10 22:02:44,25.035,4.006,63.840,5.383,0,1326992,333376,1174232,4974672,349992.139,350170.390,0,13294.732,0,1481.087,13481,17014,1.890,1.620,1.100,3,0,63.089,0,0,11,30,0,26,0
21-10 22:02:45,18.730,2.622,71.299,5.120,0.499,1362612,296240,1176320,4974008,12976.129,12976.129,0,11915.263,0,1618.270,13175,17205,1.890,1.620,1.100,2,1,0.999,0,0,11,30,0,26,0
21-10 22:02:46,20.875,2.125,69.749,4.625,0,1381056,275896,1178072,4974072,90731.002,90731.002,0,10707.882,0,1443.984,11070,14518,1.980,1.640,1.110,2,0,2.000,0,0,11,32,0,28,0
21-10 22:02:47,19.497,3.000,67.989,6.749,0.250,1327176,325660,1180576,4975612,300338.444,300338.444,0,15565.432,0,1903.686,17088,19900,1.980,1.640,1.110,2,1,73.988,0,0,11,30,0,32,0
21-10 22:02:48,20.130,1.625,69.394,5.627,0.375,1359628,290624,1183292,4975376,16373.404,16379.406,0,13675.679,0,1704.458,14462,16063,1.980,1.640,1.110,2,1,1.000,0,0,11,30,0,32,0
21-10 22:02:49,20.624,2.250,68.372,5.875,0.250,1382516,264116,1185704,4976496,191472.426,191508.425,0,12451.377,0,1492.925,13383,15270,1.980,1.640,1.110,5,0,0,0,0,11,32,0,35,0
21-10 22:02:50,23.009,1.751,67.275,5.502,0.250,1330932,312540,1187664,4977628,197305.384,197305.384,0,10828.082,0,1393.525,11044,14446,1.980,1.640,1.110,4,0,10.004,0,0,11,30,0,39,0
21-10 22:02:51,20.617,1.874,66.723,6.872,0.375,1369236,269716,1190588,4979112,15211.778,15211.778,0,13554.456,0,1774.274,12710,17136,1.980,1.650,1.110,3,0,1.000,0,0,11,30,0,39,0
21-10 22:02:52,19.634,1.626,69.283,6.128,0.125,1382340,251792,1193212,4981188,303744.582,303794.606,0,14731.012,0,1674.797,14601,18102,1.980,1.650,1.110,2,0,0,0,0,11,32,0,46,0
21-10 22:02:53,19.135,2.626,68.910,7.004,0.125,1347340,282328,1195452,4983232,62452.163,62502.189,0,21531.089,0,1968.014,14975,17225,1.980,1.650,1.110,3,1,31.016,0,0,11,30,0,47,0
21-10 22:02:54,18.605,2.248,69.050,6.868,0.250,1379384,245740,1198184,4984884,16440.179,16454.164,0,16805.783,0,1863.979,15236,17674,1.980,1.650,1.110,3,1,0,0,0,11,30,0,47,0
21-10 22:02:55,20.369,2.499,68.230,6.248,0.375,1386960,233604,1200988,4986528,396523.594,396461.612,0,15011.707,0,1761.496,16869,20523,1.980,1.650,1.110,1,1,0,0,0,11,30,0,54,0
21-10 22:02:56,18.517,6.256,72.318,2.377,0.125,1255432,364204,1201976,4986440,4572.312,22144.883,0,7350.932,0,693.654,7512,8138,1.900,1.630,1.110,2,0,209.197,0,0,11,28,0,56,0
21-10 22:02:57,11.362,1.498,85.780,0.624,0,1286028,333460,1202120,4986440,21082.767,21333.490,0,3552.086,0,220.757,1863,1907,1.900,1.630,1.110,1,0,0,0,0,11,30,0,57,0
21-10 22:02:58,11.507,1.876,84.927,1.501,0,1247740,371392,1202540,4986376,87531.219,87587.253,0,7404.502,0,451.274,3498,3328,1.900,1.630,1.110,1,0,22.013,0,0,11,28,0,59,0
21-10 22:02:59,11.374,1.250,85.869,0.500,0,1282268,336252,1202700,4986500,45.997,81.994,0,3035.781,0,185.987,1755,1770,1.900,1.630,1.110,1,0,0,0,0,11,28,0,59,0
21-10 22:03:00,10.750,1.875,84.629,1.625,0.250,1239216,378768,1203084,4986644,71240.277,71254.278,0,11736.540,0,892.041,3591,3706,1.900,1.630,1.110,1,0,35.002,0,0,11,28,0,60,0
21-10 22:03:01,11.751,1.250,86.507,0.375,0.125,1276192,341668,1203204,4986644,0,0,0,2272.193,0,145.012,1271,1571,1.830,1.620,1.110,1,0,6.001,0,0,11,28,0,60,0
